Year,FIPS_code,County,State,population
2020,2290,Yukon-Koyukuk Census Area,AK,5077
2020,4001,Apache County,AZ,71875
2020,4003,Cochise County,AZ,127450
2020,4005,Coconino County,AZ,142481
2020,4007,Gila County,AZ,54303
2020,4009,Graham County,AZ,39211
2020,4011,Greenlee County,AZ,9341
2020,4012,La Paz County,AZ,21480
2020,4013,Maricopa County,AZ,4579081
2020,4015,Mohave County,AZ,217206
2020,4017,Navajo County,AZ,112112
2020,4019,Pima County,AZ,1061175
2020,4021,Pinal County,AZ,480828
2020,4023,Santa Cruz County,AZ,46808
2020,4025,Yavapai County,AZ,240226
2020,4027,Yuma County,AZ,217824
2020,5001,Arkansas County,AR,17383
2020,5003,Ashley County,AR,19339
2020,5005,Baxter County,AR,42242
2020,5007,Benton County,AR,288774
2020,5009,Boone County,AR,37625
2020,5011,Bradley County,AR,10639
2020,5013,Calhoun County,AR,5113
2020,5015,Carroll County,AR,28276
2020,5017,Chicot County,AR,9924
2020,5019,Clark County,AR,22103
2020,5021,Clay County,AR,14375
2020,5023,Cleburne County,AR,24935
2020,5025,Cleveland County,AR,7957
2020,5027,Columbia County,AR,23331
2020,5029,Conway County,AR,21037
2020,5031,Craighead County,AR,112245
2020,5033,Crawford County,AR,63409
2020,5035,Crittenden County,AR,47616
2020,5037,Cross County,AR,16142
2020,5039,Dallas County,AR,6802
2020,5041,Desha County,AR,11110
2020,5043,Drew County,AR,17977
2020,5045,Faulkner County,AR,126919
2020,5047,Franklin County,AR,17897
2020,5049,Fulton County,AR,12381
2020,5051,Garland County,AR,99789
2020,5053,Grant County,AR,18449
2020,5055,Greene County,AR,45597
2020,5057,Hempstead County,AR,21253
2020,5059,Hot Spring County,AR,33787
2020,5061,Howard County,AR,13109
2020,5063,Independence County,AR,37757
2020,5065,Izard County,AR,13613
2020,5067,Jackson County,AR,16636
2020,5069,Jefferson County,AR,65377
2020,5071,Johnson County,AR,26513
2020,5073,Lafayette County,AR,6596
2020,5075,Lawrence County,AR,16410
2020,5077,Lee County,AR,8513
2020,5079,Lincoln County,AR,12944
2020,5081,Little River County,AR,12180
2020,5083,Logan County,AR,21410
2020,5085,Lonoke County,AR,73921
2020,5087,Madison County,AR,16644
2020,5089,Marion County,AR,16790
2020,5091,Miller County,AR,43177
2020,5093,Mississippi County,AR,40066
2020,5095,Monroe County,AR,6584
2020,5097,Montgomery County,AR,9006
2020,5099,Nevada County,AR,8099
2020,5101,Newton County,AR,7602
2020,5103,Ouachita County,AR,23167
2020,5105,Perry County,AR,10327
2020,5107,Phillips County,AR,17299
2020,5109,Pike County,AR,10643
2020,5111,Poinsett County,AR,23283
2020,5113,Polk County,AR,19707
2020,5115,Pope County,AR,64334
2020,5117,Prairie County,AR,7966
2020,5119,Pulaski County,AR,392980
2020,5121,Randolph County,AR,18247
2020,5123,St. Francis County,AR,24682
2020,5125,Saline County,AR,123968
2020,5127,Scott County,AR,10164
2020,5129,Searcy County,AR,7842
2020,5131,Sebastian County,AR,127590
2020,5133,Sevier County,AR,16702
2020,5135,Sharp County,AR,17424
2020,5137,Stone County,AR,12674
2020,5139,Union County,AR,38219
2020,5141,Van Buren County,AR,16541
2020,5143,Washington County,AR,243216
2020,5145,White County,AR,78729
2020,5147,Woodruff County,AR,6264
2020,5149,Yell County,AR,21181
2020,6001,Alameda County,CA,1662323
2020,6003,Alpine County,CA,1119
2020,6005,Amador County,CA,40083
2020,6007,Butte County,CA,212744
2020,6009,Calaveras County,CA,46308
2020,6011,Colusa County,CA,21558
2020,6013,Contra Costa County,CA,1152333
2020,6015,Del Norte County,CA,27968
2020,6017,El Dorado County,CA,192925
2020,6019,Fresno County,CA,1000918
2020,6021,Glenn County,CA,28283
2020,6023,Humboldt County,CA,134977
2020,6025,Imperial County,CA,180267
2020,6027,Inyo County,CA,18046
2020,6029,Kern County,CA,901362
2020,6031,Kings County,CA,152692
2020,6033,Lake County,CA,64479
2020,6035,Lassen County,CA,30016
2020,6037,Los Angeles County,CA,9943046
2020,6039,Madera County,CA,157761
2020,6041,Marin County,CA,257332
2020,6043,Mariposa County,CA,17160
2020,6045,Mendocino County,CA,86061
2020,6047,Merced County,CA,279252
2020,6049,Modoc County,CA,8763
2020,6051,Mono County,CA,14534
2020,6053,Monterey County,CA,430906
2020,6055,Napa County,CA,135965
2020,6057,Nevada County,CA,99606
2020,6059,Orange County,CA,3166857
2020,6061,Placer County,CA,402950
2020,6063,Plumas County,CA,18967
2020,6065,Riverside County,CA,2489188
2020,6067,Sacramento County,CA,1559146
2020,6069,San Benito County,CA,64055
2020,6071,San Bernardino County,CA,2189183
2020,6073,San Diego County,CA,3332427
2020,6075,San Francisco County,CA,866606
2020,6077,San Joaquin County,CA,767967
2020,6079,San Luis Obispo County,CA,282249
2020,6081,San Mateo County,CA,758308
2020,6083,Santa Barbara County,CA,444766
2020,6085,Santa Clara County,CA,1907105
2020,6087,Santa Cruz County,CA,269925
2020,6089,Shasta County,CA,179027
2020,6091,Sierra County,CA,2920
2020,6093,Siskiyou County,CA,43245
2020,6095,Solano County,CA,446935
2020,6097,Sonoma County,CA,489819
2020,6099,Stanislaus County,CA,550081
2020,6101,Sutter County,CA,96385
2020,6103,Tehama County,CA,64494
2020,6105,Trinity County,CA,12216
2020,6107,Tulare County,CA,468680
2020,6109,Tuolumne County,CA,54515
2020,6111,Ventura County,CA,841387
2020,6113,Yolo County,CA,219728
2020,6115,Yuba County,CA,80160
2020,8001,Adams County,CO,519883
2020,8003,Alamosa County,CO,16180
2020,8005,Arapahoe County,CO,657452
2020,8007,Archuleta County,CO,14196
2020,8009,Baca County,CO,3555
2020,8011,Bent County,CO,5356
2020,8013,Boulder County,CO,327171
2020,8014,Broomfield County,CO,72236
2020,8015,Chaffee County,CO,20661
2020,8017,Cheyenne County,CO,1795
2020,8019,Clear Creek County,CO,9586
2020,8021,Conejos County,CO,8143
2020,8023,Costilla County,CO,3921
2020,8025,Crowley County,CO,5696
2020,8027,Custer County,CO,5183
2020,8029,Delta County,CO,31067
2020,8031,Denver County,CO,735538
2020,8033,Dolores County,CO,2096
2020,8035,Douglas County,CO,360750
2020,8037,Eagle County,CO,54929
2020,8039,Elbert County,CO,27313
2020,8041,El Paso County,CO,728310
2020,8043,Fremont County,CO,47867
2020,8045,Garfield County,CO,60366
2020,8047,Gilpin County,CO,6235
2020,8049,Grand County,CO,15794
2020,8051,Gunnison County,CO,17593
2020,8053,Hinsdale County,CO,808
2020,8055,Huerfano County,CO,6883
2020,8057,Jackson County,CO,1389
2020,8059,Jefferson County,CO,583283
2020,8061,Kiowa County,CO,1458
2020,8063,Kit Carson County,CO,7121
2020,8065,Lake County,CO,7987
2020,8067,La Plata County,CO,56564
2020,8069,Larimer County,CO,360428
2020,8071,Las Animas County,CO,14420
2020,8073,Lincoln County,CO,5680
2020,8075,Logan County,CO,21974
2020,8077,Mesa County,CO,155603
2020,8079,Mineral County,CO,773
2020,8081,Moffat County,CO,13144
2020,8083,Montezuma County,CO,26408
2020,8085,Montrose County,CO,43322
2020,8087,Morgan County,CO,28941
2020,8089,Otero County,CO,18201
2020,8091,Ouray County,CO,5001
2020,8093,Park County,CO,18955
2020,8095,Phillips County,CO,4367
2020,8097,Pitkin County,CO,17894
2020,8099,Prowers County,CO,12106
2020,8101,Pueblo County,CO,169823
2020,8103,Rio Blanco County,CO,6342
2020,8105,Rio Grande County,CO,11296
2020,8107,Routt County,CO,25560
2020,8109,Saguache County,CO,6938
2020,8111,San Juan County,CO,748
2020,8113,San Miguel County,CO,8105
2020,8115,Sedgwick County,CO,2260
2020,8117,Summit County,CO,30631
2020,8119,Teller County,CO,25529
2020,8121,Washington County,CO,4875
2020,8123,Weld County,CO,333983
2020,8125,Yuma County,CO,10047
2020,9001,Fairfield County,CT,942426
2020,9003,Hartford County,CT,889226
2020,9005,Litchfield County,CT,179610
2020,9007,Middlesex County,CT,161657
2020,9009,New Haven County,CT,851948
2020,9011,New London County,CT,264999
2020,9013,Tolland County,CT,150600
2020,9015,Windham County,CT,116540
2020,10001,Kent County,DE,183643
2020,10003,New Castle County,DE,561531
2020,10005,Sussex County,DE,241635
2020,11001,District of Columbia,DC,712816
2020,12001,Alachua County,FL,271218
2020,12003,Baker County,FL,29566
2020,12005,Bay County,FL,171322
2020,12007,Bradford County,FL,28593
2020,12009,Brevard County,FL,608459
2020,12011,Broward County,FL,1958105
2020,12013,Calhoun County,FL,14078
2020,12015,Charlotte County,FL,194711
2020,12017,Citrus County,FL,153010
2020,12019,Clay County,FL,221770
2020,12021,Collier County,FL,392973
2020,12023,Columbia County,FL,72654
2020,12027,DeSoto County,FL,38520
2020,12029,Dixie County,FL,17057
2020,12031,Duval County,FL,966728
2020,12033,Escambia County,FL,322364
2020,12035,Flagler County,FL,118451
2020,12037,Franklin County,FL,12201
2020,12039,Gadsden County,FL,45277
2020,12041,Gilchrist County,FL,18885
2020,12043,Glades County,FL,14198
2020,12045,Gulf County,FL,13534
2020,12047,Hamilton County,FL,14521
2020,12049,Hardee County,FL,26822
2020,12051,Hendry County,FL,42813
2020,12053,Hernando County,FL,198792
2020,12055,Highlands County,FL,106639
2020,12057,Hillsborough County,FL,1497957
2020,12059,Holmes County,FL,19594
2020,12061,Indian River County,FL,162518
2020,12063,Jackson County,FL,46085
2020,12065,Jefferson County,FL,14543
2020,12067,Lafayette County,FL,8482
2020,12069,Lake County,FL,375492
2020,12071,Lee County,FL,790767
2020,12073,Leon County,FL,295460
2020,12075,Levy County,FL,42214
2020,12077,Liberty County,FL,8364
2020,12079,Madison County,FL,18707
2020,12081,Manatee County,FL,411219
2020,12083,Marion County,FL,373513
2020,12085,Martin County,FL,162088
2020,12086,Miami-Dade County,FL,2707303
2020,12087,Monroe County,FL,73900
2020,12089,Nassau County,FL,91113
2020,12091,Okaloosa County,FL,212820
2020,12093,Okeechobee County,FL,42297
2020,12095,Orange County,FL,1404396
2020,12097,Osceola County,FL,385315
2020,12099,Palm Beach County,FL,1507600
2020,12101,Pasco County,FL,570412
2020,12103,Pinellas County,FL,976802
2020,12105,Polk County,FL,744552
2020,12107,Putnam County,FL,74815
2020,12109,St. Johns County,FL,278715
2020,12111,St. Lucie County,FL,337186
2020,12113,Santa Rosa County,FL,189139
2020,12115,Sarasota County,FL,443465
2020,12117,Seminole County,FL,474171
2020,12119,Sumter County,FL,139018
2020,12121,Suwannee County,FL,44851
2020,12123,Taylor County,FL,21600
2020,12125,Union County,FL,15182
2020,12127,Volusia County,FL,561497
2020,12129,Wakulla County,FL,34319
2020,12131,Walton County,FL,76648
2020,12133,Washington County,FL,25932
2020,13001,Appling County,GA,18325
2020,13003,Atkinson County,GA,8393
2020,13005,Bacon County,GA,11036
2020,13007,Baker County,GA,2971
2020,13009,Baldwin County,GA,45099
2020,13011,Banks County,GA,19352
2020,13013,Barrow County,GA,85588
2020,13015,Bartow County,GA,109426
2020,13017,Ben Hill County,GA,16614
2020,13019,Berrien County,GA,19408
2020,13021,Bibb County,GA,152737
2020,13023,Bleckley County,GA,12955
2020,13025,Brantley County,GA,19202
2020,13027,Brooks County,GA,15357
2020,13029,Bryan County,GA,40755
2020,13031,Bulloch County,GA,80839
2020,13033,Burke County,GA,22648
2020,13035,Butts County,GA,25426
2020,13037,Calhoun County,GA,6231
2020,13039,Camden County,GA,55388
2020,13043,Candler County,GA,10985
2020,13045,Carroll County,GA,121633
2020,13047,Catoosa County,GA,67996
2020,13049,Charlton County,GA,13430
2020,13051,Chatham County,GA,289463
2020,13053,Chattahoochee County,GA,10551
2020,13055,Chattooga County,GA,24843
2020,13057,Cherokee County,GA,265274
2020,13059,Clarke County,GA,127795
2020,13061,Clay County,GA,2866
2020,13063,Clayton County,GA,292646
2020,13065,Clinch County,GA,6582
2020,13067,Cobb County,GA,762944
2020,13069,Coffee County,GA,43218
2020,13071,Colquitt County,GA,45542
2020,13073,Columbia County,GA,160377
2020,13075,Cook County,GA,17291
2020,13077,Coweta County,GA,150849
2020,13079,Crawford County,GA,12231
2020,13081,Crisp County,GA,22034
2020,13083,Dade County,GA,16057
2020,13085,Dawson County,GA,27113
2020,13087,Decatur County,GA,26457
2020,13089,DeKalb County,GA,762009
2020,13091,Dodge County,GA,20452
2020,13093,Dooly County,GA,13174
2020,13095,Dougherty County,GA,86477
2020,13097,Douglas County,GA,147988
2020,13099,Early County,GA,10037
2020,13101,Echols County,GA,4002
2020,13103,Effingham County,GA,65765
2020,13105,Elbert County,GA,19335
2020,13107,Emanuel County,GA,22507
2020,13109,Evans County,GA,10638
2020,13111,Fannin County,GA,26521
2020,13113,Fayette County,GA,115821
2020,13115,Floyd County,GA,98604
2020,13117,Forsyth County,GA,250847
2020,13119,Franklin County,GA,23504
2020,13121,Fulton County,GA,1077402
2020,13123,Gilmer County,GA,31978
2020,13125,Glascock County,GA,2984
2020,13127,Glynn County,GA,85568
2020,13129,Gordon County,GA,58780
2020,13131,Grady County,GA,24491
2020,13133,Greene County,GA,18837
2020,13135,Gwinnett County,GA,942627
2020,13137,Habersham County,GA,46047
2020,13139,Hall County,GA,206591
2020,13141,Hancock County,GA,8494
2020,13143,Haralson County,GA,30383
2020,13145,Harris County,GA,36080
2020,13147,Hart County,GA,26406
2020,13149,Heard County,GA,11973
2020,13151,Henry County,GA,239139
2020,13153,Houston County,GA,160110
2020,13155,Irwin County,GA,9387
2020,13157,Jackson County,GA,76199
2020,13159,Jasper County,GA,14483
2020,13161,Jeff Davis County,GA,15213
2020,13163,Jefferson County,GA,15267
2020,13165,Jenkins County,GA,8746
2020,13167,Johnson County,GA,9667
2020,13169,Jones County,GA,28787
2020,13171,Lamar County,GA,19261
2020,13173,Lanier County,GA,10737
2020,13175,Laurens County,GA,47512
2020,13177,Lee County,GA,30234
2020,13179,Liberty County,GA,63004
2020,13181,Lincoln County,GA,8031
2020,13183,Long County,GA,20171
2020,13185,Lowndes County,GA,118268
2020,13187,Lumpkin County,GA,34186
2020,13189,McDuffie County,GA,21162
2020,13191,McIntosh County,GA,14387
2020,13193,Macon County,GA,12712
2020,13195,Madison County,GA,30457
2020,13197,Marion County,GA,8516
2020,13199,Meriwether County,GA,21164
2020,13201,Miller County,GA,5622
2020,13205,Mitchell County,GA,21602
2020,13207,Monroe County,GA,28042
2020,13209,Montgomery County,GA,9012
2020,13211,Morgan County,GA,19636
2020,13213,Murray County,GA,40032
2020,13215,Muscogee County,GA,196442
2020,13217,Newton County,GA,113295
2020,13219,Oconee County,GA,41124
2020,13221,Oglethorpe County,GA,15383
2020,13223,Paulding County,GA,173359
2020,13225,Peach County,GA,27950
2020,13227,Pickens County,GA,33127
2020,13229,Pierce County,GA,19522
2020,13231,Pike County,GA,19121
2020,13233,Polk County,GA,42840
2020,13235,Pulaski County,GA,11191
2020,13237,Putnam County,GA,22520
2020,13239,Quitman County,GA,2271
2020,13241,Rabun County,GA,17273
2020,13243,Randolph County,GA,6682
2020,13245,Richmond County,GA,202079
2020,13247,Rockdale County,GA,90939
2020,13249,Schley County,GA,5196
2020,13251,Screven County,GA,14012
2020,13253,Seminole County,GA,8060
2020,13255,Spalding County,GA,67414
2020,13257,Stephens County,GA,26107
2020,13259,Stewart County,GA,6689
2020,13261,Sumter County,GA,29282
2020,13263,Talbot County,GA,6143
2020,13265,Taliaferro County,GA,1562
2020,13267,Tattnall County,GA,25365
2020,13269,Taylor County,GA,8074
2020,13271,Telfair County,GA,15781
2020,13273,Terrell County,GA,8523
2020,13275,Thomas County,GA,44372
2020,13277,Tift County,GA,40719
2020,13279,Toombs County,GA,26973
2020,13281,Towns County,GA,12247
2020,13283,Treutlen County,GA,6822
2020,13285,Troup County,GA,70214
2020,13287,Turner County,GA,7882
2020,13289,Twiggs County,GA,8103
2020,13291,Union County,GA,25358
2020,13293,Upson County,GA,26527
2020,13295,Walker County,GA,70116
2020,13297,Walton County,GA,96875
2020,13299,Ware County,GA,35826
2020,13301,Warren County,GA,5232
2020,13303,Washington County,GA,20150
2020,13305,Wayne County,GA,30023
2020,13307,Webster County,GA,2595
2020,13309,Wheeler County,GA,7751
2020,13311,White County,GA,31094
2020,13313,Whitfield County,GA,103837
2020,13315,Wilcox County,GA,8502
2020,13317,Wilkes County,GA,9694
2020,13319,Wilkinson County,GA,8812
2020,13321,Worth County,GA,19972
2020,15001,Hawaii County,HI,203340
2020,15003,Honolulu County,HI,963826
2020,15005,Kalawao County,HI,87
2020,15007,Kauai County,HI,71851
2020,15009,Maui County,HI,167902
2020,16001,Ada County,ID,494399
2020,16003,Adams County,ID,4447
2020,16005,Bannock County,ID,88795
2020,16007,Bear Lake County,ID,6143
2020,16009,Benewah County,ID,9430
2020,16011,Bingham County,ID,47202
2020,16013,Blaine County,ID,23426
2020,16015,Boise County,ID,8065
2020,16017,Bonner County,ID,46817
2020,16019,Bonneville County,ID,122134
2020,16021,Boundary County,ID,12656
2020,16023,Butte County,ID,2646
2020,16025,Camas County,ID,1130
2020,16027,Canyon County,ID,237053
2020,16029,Caribou County,ID,7123
2020,16031,Cassia County,ID,24277
2020,16033,Clark County,ID,852
2020,16035,Clearwater County,ID,8846
2020,16037,Custer County,ID,4249
2020,16039,Elmore County,ID,27448
2020,16041,Franklin County,ID,14215
2020,16043,Fremont County,ID,13218
2020,16045,Gem County,ID,18703
2020,16047,Gooding County,ID,15618
2020,16049,Idaho County,ID,16823
2020,16051,Jefferson County,ID,30581
2020,16053,Jerome County,ID,24578
2020,16055,Kootenai County,ID,170628
2020,16057,Latah County,ID,40830
2020,16059,Lemhi County,ID,8054
2020,16061,Lewis County,ID,3838
2020,16063,Lincoln County,ID,5358
2020,16065,Madison County,ID,40318
2020,16067,Minidoka County,ID,21216
2020,16069,Nez Perce County,ID,40755
2020,16071,Oneida County,ID,4520
2020,16073,Owyhee County,ID,12133
2020,16075,Payette County,ID,24771
2020,16077,Power County,ID,7643
2020,16079,Shoshone County,ID,12911
2020,16081,Teton County,ID,12501
2020,16083,Twin Falls County,ID,88411
2020,16085,Valley County,ID,11792
2020,16087,Washington County,ID,10360
2020,17001,Adams County,IL,64783
2020,17003,Alexander County,IL,5497
2020,17005,Bond County,IL,16262
2020,17007,Boone County,IL,52777
2020,17009,Brown County,IL,6546
2020,17011,Bureau County,IL,32303
2020,17013,Calhoun County,IL,4616
2020,17015,Carroll County,IL,14241
2020,17017,Cass County,IL,11925
2020,17019,Champaign County,IL,209192
2020,17021,Christian County,IL,32075
2020,17023,Clark County,IL,15268
2020,17025,Clay County,IL,13079
2020,17027,Clinton County,IL,37398
2020,17029,Coles County,IL,50383
2020,17031,Cook County,IL,5108284
2020,17033,Crawford County,IL,18512
2020,17035,Cumberland County,IL,10649
2020,17037,DeKalb County,IL,104491
2020,17039,De Witt County,IL,15368
2020,17041,Douglas County,IL,19510
2020,17043,DuPage County,IL,917481
2020,17045,Edgar County,IL,16858
2020,17047,Edwards County,IL,6356
2020,17049,Effingham County,IL,34065
2020,17051,Fayette County,IL,21264
2020,17053,Ford County,IL,12949
2020,17055,Franklin County,IL,38060
2020,17057,Fulton County,IL,33690
2020,17059,Gallatin County,IL,4793
2020,17061,Greene County,IL,12702
2020,17063,Grundy County,IL,50993
2020,17065,Hamilton County,IL,8084
2020,17067,Hancock County,IL,17422
2020,17069,Hardin County,IL,3808
2020,17071,Henderson County,IL,6535
2020,17073,Henry County,IL,48411
2020,17075,Iroquois County,IL,26711
2020,17077,Jackson County,IL,56675
2020,17079,Jasper County,IL,9465
2020,17081,Jefferson County,IL,37235
2020,17083,Jersey County,IL,21616
2020,17085,Jo Daviess County,IL,21239
2020,17087,Johnson County,IL,12358
2020,17089,Kane County,IL,531010
2020,17091,Kankakee County,IL,108594
2020,17093,Kendall County,IL,130638
2020,17095,Knox County,IL,49053
2020,17097,Lake County,IL,693593
2020,17099,La Salle County,IL,107571
2020,17101,Lawrence County,IL,15467
2020,17103,Lee County,IL,33647
2020,17105,Livingston County,IL,35414
2020,17107,Logan County,IL,28383
2020,17109,McDonough County,IL,29295
2020,17111,McHenry County,IL,305888
2020,17113,McLean County,IL,171256
2020,17115,Macon County,IL,103015
2020,17117,Macoupin County,IL,44567
2020,17119,Madison County,IL,262635
2020,17121,Marion County,IL,37045
2020,17123,Marshall County,IL,11309
2020,17125,Mason County,IL,13173
2020,17127,Massac County,IL,13636
2020,17129,Menard County,IL,12068
2020,17131,Mercer County,IL,15225
2020,17133,Monroe County,IL,34739
2020,17135,Montgomery County,IL,28045
2020,17137,Morgan County,IL,33400
2020,17139,Moultrie County,IL,14347
2020,17141,Ogle County,IL,50306
2020,17143,Peoria County,IL,177652
2020,17145,Perry County,IL,20664
2020,17147,Piatt County,IL,16355
2020,17149,Pike County,IL,15239
2020,17151,Pope County,IL,4142
2020,17153,Pulaski County,IL,5201
2020,17155,Putnam County,IL,5716
2020,17157,Randolph County,IL,31351
2020,17159,Richland County,IL,15507
2020,17161,Rock Island County,IL,140907
2020,17163,St. Clair County,IL,258046
2020,17165,Saline County,IL,23182
2020,17167,Sangamon County,IL,193882
2020,17169,Schuyler County,IL,6738
2020,17171,Scott County,IL,4950
2020,17173,Shelby County,IL,21299
2020,17175,Stark County,IL,5262
2020,17177,Stephenson County,IL,43831
2020,17179,Tazewell County,IL,130777
2020,17181,Union County,IL,16498
2020,17183,Vermilion County,IL,74855
2020,17185,Wabash County,IL,11190
2020,17187,Warren County,IL,16696
2020,17189,Washington County,IL,13764
2020,17191,Wayne County,IL,16031
2020,17193,White County,IL,13364
2020,17195,Whiteside County,IL,54656
2020,17197,Will County,IL,688726
2020,17199,Williamson County,IL,66415
2020,17201,Winnebago County,IL,281295
2020,17203,Woodford County,IL,38091
2020,18001,Adams County,IN,35839
2020,18003,Allen County,IN,382187
2020,18005,Bartholomew County,IN,84447
2020,18007,Benton County,IN,8741
2020,18009,Blackford County,IN,11782
2020,18011,Boone County,IN,69347
2020,18013,Brown County,IN,15112
2020,18015,Carroll County,IN,20228
2020,18017,Cass County,IN,37388
2020,18019,Clark County,IN,119266
2020,18021,Clay County,IN,26246
2020,18023,Clinton County,IN,32206
2020,18025,Crawford County,IN,10629
2020,18027,Daviess County,IN,33505
2020,18029,Dearborn County,IN,49824
2020,18031,Decatur County,IN,26584
2020,18033,De Kalb County,IN,43670
2020,18035,Delaware County,IN,113454
2020,18037,Dubois County,IN,42542
2020,18039,Elkhart County,IN,206161
2020,18041,Fayette County,IN,22892
2020,18043,Floyd County,IN,78936
2020,18045,Fountain County,IN,16511
2020,18047,Franklin County,IN,22761
2020,18049,Fulton County,IN,20018
2020,18051,Gibson County,IN,33825
2020,18053,Grant County,IN,65225
2020,18055,Greene County,IN,32203
2020,18057,Hamilton County,IN,344238
2020,18059,Hancock County,IN,79553
2020,18061,Harrison County,IN,40682
2020,18063,Hendricks County,IN,173251
2020,18065,Henry County,IN,48033
2020,18067,Howard County,IN,82732
2020,18069,Huntington County,IN,36395
2020,18071,Jackson County,IN,44222
2020,18073,Jasper County,IN,33440
2020,18075,Jay County,IN,20416
2020,18077,Jefferson County,IN,32110
2020,18079,Jennings County,IN,27515
2020,18081,Johnson County,IN,160607
2020,18083,Knox County,IN,36522
2020,18085,Kosciusko County,IN,78988
2020,18087,Lagrange County,IN,40119
2020,18089,Lake County,IN,487536
2020,18091,La Porte County,IN,109663
2020,18093,Lawrence County,IN,45496
2020,18095,Madison County,IN,129681
2020,18097,Marion County,IN,966183
2020,18099,Marshall County,IN,46108
2020,18101,Martin County,IN,10079
2020,18103,Miami County,IN,35328
2020,18105,Monroe County,IN,148219
2020,18107,Montgomery County,IN,38365
2020,18109,Morgan County,IN,70707
2020,18111,Newton County,IN,13907
2020,18113,Noble County,IN,47832
2020,18115,Ohio County,IN,5892
2020,18117,Orange County,IN,19651
2020,18119,Owen County,IN,20833
2020,18121,Parke County,IN,16871
2020,18123,Perry County,IN,19154
2020,18125,Pike County,IN,12378
2020,18127,Porter County,IN,170980
2020,18129,Posey County,IN,25275
2020,18131,Pulaski County,IN,12388
2020,18133,Putnam County,IN,37469
