Year,County,State,GeoFips,Personal Income (thousands of dollars),Population (persons),Per Capita Personal Income
2016,Morgan, AL,1103,36374,4409476,121225
2016,Perry, AL,1105,29752,279192,9384
2016,Pickens, AL,1107,31838,633089,19885
2016,Pike, AL,1109,35034,1175881,33564
2016,Randolph, AL,1111,31996,702382,21952
2016,Russell, AL,1113,30733,1810738,58919
2016,St. Clair, AL,1115,36141,3170633,87730
2016,Shelby, AL,1117,51217,10907131,212960
2016,Sumter, AL,1119,30006,390801,13024
2016,Talladega, AL,1121,32099,2629177,81909
2016,Tallapoosa, AL,1123,37913,1565756,41299
2016,Tuscaloosa, AL,1125,34785,7530883,216498
2016,Walker, AL,1127,36500,2401777,65802
2016,Washington, AL,1129,35316,571383,16179
2016,Wilcox, AL,1131,29841,330218,11066
2016,Winston, AL,1133,31892,762558,23911
2016,Aleutian Islands Census Area, AK*,2010,0,0,0
2016,Aleutians East Borough, AK*,2013,57494,193409,3364
2016,Aleutians West Census Area, AK*,2016,57749,313115,5422
2016,Anchorage Municipality, AK,2020,62142,18661454,300301
2016,Bethel Census Area, AK*,2050,40834,740804,18142
2016,Bristol Bay Borough, AK,2060,114788,107442,936
2016,Chugach Census Area, AK*,2063,0,0,0
2016,Copper River Census Area, AK*,2066,0,0,0
2016,Denali Borough, AK*,2068,90899,160800,1769
2016,Dillingham Census Area, AK*,2070,54934,273131,4972
2016,Fairbanks North Star Borough, AK,2090,52866,5320345,100639
2016,Haines Borough, AK*,2100,67146,148057,2205
2016,Hoonah-Angoon Census Area, AK*,2105,52891,118740,2245
2016,Juneau City and Borough, AK,2110,64006,2091086,32670
2016,Kenai Peninsula Borough, AK*,2122,50179,2920425,58200
2016,Ketchikan Gateway Borough, AK*,2130,63757,883220,13853
2016,Kodiak Island Borough, AK,2150,57526,790518,13742
2016,Kusilvak Census Area, AK*,2158,29686,243338,8197
2016,Lake and Peninsula Borough, AK*,2164,54356,85285,1569
2016,Matanuska-Susitna Borough, AK,2170,45904,4712454,102659
2016,Nome Census Area, AK,2180,47358,476330,10058
2016,North Slope Borough, AK*,2185,83899,863655,10294
2016,Northwest Arctic Borough, AK,2188,42996,335154,7795
2016,Petersburg Borough, AK*,2195,62130,206583,3325
2016,Prince of Wales-Hyder Census Area, AK*,2198,41441,258756,6244
2016,Prince of Wales-Outer Ketchikan Census Area, AK*,2201,0,0,0
2016,Sitka City and Borough, AK*,2220,63117,552839,8759
2016,Skagway Municipality, AK*,2230,71434,83363,1167
2016,Skagway-Yakutat-Angoon Census Area, AK*,2231,0,0,0
2016,Skagway-Hoonah-Angoon Census Area, AK*,2232,0,0,0
2016,Southeast Fairbanks Census Area, AK*,2240,47857,324324,6777
2016,Valdez-Cordova Census Area, AK*,2261,56129,541422,9646
2016,Wrangell City and Borough, AK*,2275,50107,113042,2256
2016,Wrangell-Petersburg Census Area, AK*,2280,0,0,0
2016,Yakutat City and Borough, AK*,2282,51223,32885,642
2016,Yukon-Koyukuk Census Area, AK*,2290,51318,285431,5562
2016,Aleutian Islands Division, AK*,2901,0,0,0
2016,Angoon Division, AK*,2903,0,0,0
2016,Barrow-North Slope Division, AK*,2904,0,0,0
2016,Bethel Division, AK*,2905,0,0,0
2016,Bristol Bay Division, AK*,2907,0,0,0
2016,Cordova-McCarthy Division, AK*,2908,0,0,0
2016,Haines Division, AK*,2910,0,0,0
2016,Kenai-Cook Inlet Division, AK*,2912,0,0,0
2016,Kuskokwim Division, AK*,2916,0,0,0
2016,Outer Ketchikan Division, AK*,2919,0,0,0
2016,Prince of Wales Division, AK*,2920,0,0,0
2016,Seward Division, AK*,2921,0,0,0
2016,Sitka Division, AK*,2922,0,0,0
2016,Skagway-Yakutat Division, AK*,2923,0,0,0
2016,Southeast Fairbanks Division, AK*,2924,0,0,0
2016,Upper Yukon Division, AK*,2925,0,0,0
2016,Valdez-Chitina-Whittier Division, AK*,2926,0,0,0
2016,Wrangell-Petersburg Division, AK*,2928,0,0,0
2016,Yukon-Koyukuk Division, AK*,2929,0,0,0
2016,Apache, AZ,4001,31931,2161372,67688
2016,Cochise, AZ,4003,37426,4661736,124559
2016,Coconino, AZ,4005,43655,6202954,142091
2016,Gila, AZ,4007,36068,1903070,52763
2016,Graham, AZ,4009,28635,1073230,37480
2016,Greenlee, AZ,4011,33265,324265,9748
2016,La Paz, AZ*,4012,37160,655457,17639
2016,Maricopa, AZ,4013,44687,186560211,4174844
2016,Mohave, AZ,4015,30830,6287403,203940
2016,Navajo, AZ,4017,29787,3137542,105331
2016,Pima, AZ,4019,40050,40340692,1007258
2016,Pinal, AZ,4021,31448,12243697,389329
2016,Santa Cruz, AZ,4023,33953,1592014,46889
2016,Yavapai, AZ,4025,37326,8318748,222867
2016,Yuma, AZ*,4027,33253,6622756,199165
2016,Arkansas, AR,5001,44062,794254,18026
2016,Ashley, AR,5003,33911,688332,20298
2016,Baxter, AR,5005,35299,1440565,40810
2016,Benton, AR,5007,84664,21857963,258172
2016,Boone, AR,5009,33572,1246976,37143
2016,Bradley, AR,5011,36283,394471,10872
2016,Calhoun, AR,5013,34791,170648,4905
2016,Carroll, AR,5015,31113,861433,27687
2016,Chicot, AR,5017,34572,382890,11075
2016,Clark, AR,5019,34071,755627,22178
2016,Clay, AR,5021,30696,464861,15144
2016,Cleburne, AR,5023,35910,897939,25005
2016,Cleveland, AR,5025,37324,298183,7989
2016,Columbia, AR,5027,35282,834214,23644
2016,Conway, AR,5029,36501,755215,20690
2016,Craighead, AR,5031,35912,3794232,105655
2016,Crawford, AR,5033,32453,1957357,60314
2016,Crittenden, AR,5035,34945,1732598,49581
2016,Cross, AR,5037,32218,561396,17425
2016,Dallas, AR,5039,33374,239023,7162
2016,Desha, AR,5041,37045,446277,12047
2016,Drew, AR,5043,35307,640821,18150
2016,Faulkner, AR,5045,36455,4385334,120295
2016,Franklin, AR,5047,32174,553560,17205
2016,Fulton, AR,5049,26819,319224,11903
2016,Garland, AR,5051,37902,3736474,98582
2016,Grant, AR,5053,36632,651861,17795
2016,Greene, AR,5055,32507,1458478,44866
2016,Hempstead, AR,5057,30090,639138,21241
2016,Hot Spring, AR,5059,29691,979695,32996
2016,Howard, AR,5061,33809,443772,13126
2016,Independence, AR,5063,33519,1247014,37203
2016,Izard, AR,5065,28780,387891,13478
2016,Jackson, AR,5067,34797,604706,17378
2016,Jefferson, AR,5069,32616,2330451,71452
2016,Johnson, AR,5071,28598,733942,25664
2016,Lafayette, AR,5073,34834,233425,6701
2016,Lawrence, AR,5075,32248,533030,16529
2016,Lee, AR,5077,25366,236948,9341
2016,Lincoln, AR,5079,25114,344143,13703
2016,Little River, AR,5081,33697,414603,12304
2016,Logan, AR,5083,31718,683524,21550
2016,Lonoke, AR,5085,37594,2703680,71918
2016,Madison, AR,5087,32663,525259,16081
2016,Marion, AR,5089,28904,475494,16451
2016,Miller, AR,5091,32700,1419202,43401
2016,Mississippi, AR,5093,29362,1266930,43148
2016,Monroe, AR,5095,29521,215944,7315
2016,Montgomery, AR,5097,28582,246148,8612
2016,Nevada, AR,5099,31060,263517,8484
2016,Newton, AR,5101,28011,212826,7598
2016,Ouachita, AR,5103,34810,823505,23657
2016,Perry, AR,5105,33932,341522,10065
2016,Phillips, AR,5107,30079,555327,18462
2016,Pike, AR,5109,31507,331987,10537
2016,Poinsett, AR,5111,30301,719593,23748
2016,Polk, AR,5113,28657,568403,19835
2016,Pope, AR,5115,33499,2121075,63317
2016,Prairie, AR,5117,32248,272302,8444
2016,Pulaski, AR,5119,48374,19255253,398046
2016,Randolph, AR,5121,30697,541686,17646
2016,St. Francis, AR,5123,26859,677647,25230
2016,Saline, AR,5125,40762,4791292,117543
2016,Scott, AR,5127,29250,295363,10098
2016,Searcy, AR,5129,26505,210739,7951
2016,Sebastian, AR,5131,39892,5093067,127671
2016,Sevier, AR,5133,31654,518526,16381
2016,Sharp, AR,5135,32031,542324,16931
2016,Stone, AR,5137,29550,364555,12337
2016,Union, AR,5139,39592,1598309,40369
2016,Van Buren, AR,5141,30335,491434,16200
2016,Washington, AR,5143,37750,8704514,230586
2016,White, AR,5145,34130,2654068,77763
2016,Woodruff, AR,5147,33506,220305,6575
2016,Yell, AR,5149,32108,671633,20918
2016,Alameda, CA,6001,65989,109612970,1661071
2016,Alpine, CA,6003,69972,76829,1098
2016,Amador, CA,6005,40738,1535698,37697
2016,Butte, CA,6007,41228,9253840,224454
2016,Calaveras, CA,6009,44558,1992217,44711
2016,Colusa, CA,6011,41498,898476,21651
2016,Contra Costa, CA,6013,71147,81463495,1145008
2016,Del Norte, CA,6015,34410,937854,27255
2016,El Dorado, CA,6017,62552,11567717,184929
2016,Fresno, CA,6019,39427,38671647,980843
2016,Glenn, CA,6021,40187,1131457,28155
2016,Humboldt, CA,6023,42199,5793886,137299
2016,Imperial, CA,6025,35561,6378864,179377
2016,Inyo, CA,6027,55269,1021322,18479
2016,Kern, CA,6029,36386,32240783,886081
2016,Kings, CA,6031,34302,5118040,149205
2016,Lake, CA,6033,36770,2430849,66110
2016,Lassen, CA,6035,32427,1049603,32368
2016,Los Angeles, CA,6037,55568,562436306,10121673
2016,Madera, CA,6039,36157,5531698,152989
2016,Marin, CA,6041,115941,30540371,263413
2016,Mariposa, CA,6043,47401,828240,17473
2016,Mendocino, CA,6045,43118,3903987,90541
2016,Merced, CA,6047,35842,9633119,268766
2016,Modoc, CA,6049,43636,387883,8889
2016,Mono, CA,6051,45927,617495,13445
2016,Monterey, CA,6053,51604,22602564,438004
2016,Napa, CA,6055,67213,9530051,141789
2016,Nevada, CA,6057,56203,5647546,100485
2016,Orange, CA,6059,62135,197231809,3174233
2016,Placer, CA,6061,61313,23334579,380580
2016,Plumas, CA,6063,45292,868058,19166
2016,Riverside, CA,6065,38294,89569727,2338982
2016,Sacramento, CA,6067,47241,72142550,1527104
2016,San Benito, CA,6069,46619,2774534,59515
2016,San Bernardino, CA,6071,36618,77868801,2126539
2016,San Diego, CA,6073,55413,181952012,3283586
2016,San Francisco, CA,6075,112804,98509605,873283
2016,San Joaquin, CA,6077,40072,29646061,739814
2016,San Luis Obispo, CA,6079,51773,14591004,281825
2016,San Mateo, CA,6081,105796,81500186,770354
2016,Santa Barbara, CA,6083,55983,24971653,446061
2016,Santa Clara, CA,6085,91160,177055924,1942263
2016,Santa Cruz, CA,6087,59452,16331057,274694
2016,Shasta, CA,6089,41750,7527423,180299
2016,Sierra, CA,6091,37575,118024,3141
2016,Siskiyou, CA,6093,41080,1800626,43832
2016,Solano, CA,6095,45652,20203007,442544
2016,Sonoma, CA,6097,56305,28233501,501437
2016,Stanislaus, CA,6099,40116,21681457,540463
2016,Sutter, CA,6101,40366,3940366,97616
2016,Tehama, CA,6103,36207,2321837,64127
2016,Trinity, CA,6105,29919,453848,15169
2016,Tulare, CA,6107,37354,17254966,461926
2016,Tuolumne, CA,6109,42861,2328172,54319
2016,Ventura, CA,6111,56356,47773595,847718
2016,Yolo, CA,6113,50477,10774338,213449
2016,Yuba, CA,6115,37731,2864247,75913
2016,Adams, CO*,8001,39629,19726539,497785
2016,Alamosa, CO,8003,33765,545409,16153
2016,Arapahoe, CO,8005,54995,35090453,638071
2016,Archuleta, CO,8007,42096,522032,12401
2016,Baca, CO,8009,36609,127801,3491
2016,Bent, CO,8011,24405,146773,6014
2016,Boulder, CO*,8013,64804,20987868,323865
2016,Broomfield, CO*,8014,59889,4063620,67853
2016,Chaffee, CO,8015,43804,810982,18514
2016,Cheyenne, CO,8017,35787,64810,1811
2016,Clear Creek, CO,8019,58247,538434,9244
2016,Conejos, CO,8021,34065,259783,7626
2016,Costilla, CO,8023,32559,112265,3448
2016,Crowley, CO,8025,20534,110595,5386
2016,Custer, CO,8027,43301,187105,4321
2016,Delta, CO,8029,33713,1026314,30443
2016,Denver, CO,8031,64287,44083200,685730
2016,Dolores, CO,8033,30924,67909,2196
2016,Douglas, CO,8035,69879,22937422,328245
2016,Eagle, CO,8037,68669,3777507,55010
2016,Elbert, CO,8039,54638,1338533,24498
2016,El Paso, CO,8041,44780,30922547,690551
2016,Fremont, CO,8043,31687,1511524,47701
2016,Garfield, CO,8045,53200,3173870,59659
2016,Gilpin, CO,8047,48182,273190,5670
2016,Grand, CO,8049,46450,704137,15159
2016,Gunnison, CO,8051,45116,725060,16071
2016,Hinsdale, CO,8053,46075,35708,775
2016,Huerfano, CO,8055,38421,251195,6538
2016,Jackson, CO,8057,45966,61962,1348
2016,Jefferson, CO*,8059,57593,32913123,571481
2016,Kiowa, CO,8061,40280,54096,1343
2016,Kit Carson, CO,8063,37694,286213,7593
2016,Lake, CO,8065,34186,247816,7249
2016,La Plata, CO,8067,53165,2918412,54893
2016,Larimer, CO,8069,48327,16377606,338891
2016,Las Animas, CO,8071,34904,494524,14168
2016,Lincoln, CO,8073,26013,144060,5538
2016,Logan, CO,8075,48180,1065896,22123
2016,Mesa, CO,8077,40094,6015888,150045
2016,Mineral, CO,8079,55678,45155,811
2016,Moffat, CO,8081,39120,517435,13227
2016,Montezuma, CO,8083,40569,1043633,25725
2016,Montrose, CO,8085,37140,1517932,40870
2016,Morgan, CO,8087,41249,1165107,28246
2016,Otero, CO,8089,32792,608584,18559
2016,Ouray, CO,8091,57373,270515,4715
2016,Park, CO,8093,44007,725991,16497
2016,Phillips, CO,8095,41780,184082,4406
2016,Pitkin, CO,8097,139666,2467064,17664
2016,Prowers, CO,8099,39807,472193,11862
2016,Pueblo, CO,8101,35501,5823657,164042
2016,Rio Blanco, CO,8103,41924,274558,6549
2016,Rio Grande, CO,8105,40748,468562,11499
2016,Routt, CO,8107,71441,1736223,24303
2016,Saguache, CO,8109,32158,195971,6094
2016,San Juan, CO,8111,48393,32375,669
2016,San Miguel, CO,8113,75366,602928,8000
2016,Sedgwick, CO,8115,42617,105733,2481
2016,Summit, CO,8117,62001,1907894,30772
2016,Teller, CO,8119,47740,1128004,23628
2016,Washington, CO,8121,37852,181199,4787
2016,Weld, CO*,8123,44072,12994119,294841
2016,Yuma, CO,8125,50122,501873,10013
2016,Fairfield, CT,9001,106272,101347852,953669
2016,Hartford, CT,9003,59184,53262311,899949
2016,Litchfield, CT,9005,58257,10844941,186156
2016,Middlesex, CT,9007,62852,10361652,164858
2016,New Haven, CT,9009,51331,44430443,865560
2016,New London, CT,9011,53867,14584130,270745
2016,Tolland, CT,9013,53056,7995464,150698
2016,Windham, CT,9015,42658,4950590,116053
2016,Kent, DE,10001,39529,6875705,173940
2016,New Castle, DE,10003,51558,28924727,561010
2016,Sussex, DE,10005,48809,10644360,218080
2016,District of Columbia, DC,11001,78186,52684466,673833
2016,Alachua, FL,12001,39639,10646919,268595
2016,Baker, FL,12003,31482,855689,27180
2016,Bay, FL,12005,40831,7588404,185851
2016,Bradford, FL,12007,31524,839505,26631
2016,Brevard, FL,12009,41987,24236432,577242
2016,Broward, FL,12011,46982,89468067,1904286
2016,Calhoun, FL,12013,25677,360998,14059
2016,Charlotte, FL,12015,40667,7088057,174293
2016,Citrus, FL,12017,36347,5227042,143811
2016,Clay, FL,12019,41881,8616729,205745
2016,Collier, FL,12021,88301,31512180,356874
2016,Columbia, FL,12023,33092,2240107,67694
2016,DeSoto, FL,12027,25650,862550,33628
2016,Dixie, FL,12029,26069,425160,16309
2016,Duval, FL,12031,41608,39297931,944473
2016,Escambia, FL,12033,39798,12420196,312077
2016,Flagler, FL,12035,43657,4638579,106250
2016,Franklin, FL,12037,32208,386073,11987
2016,Gadsden, FL,12039,32706,1474857,45094
2016,Gilchrist, FL,12041,31961,545284,17061
2016,Glades, FL,12043,24777,302925,12226
2016,Gulf, FL,12045,31241,517077,16551
2016,Hamilton, FL,12047,24844,347546,13989
2016,Hardee, FL,12049,26775,703891,26289
2016,Hendry, FL,12051,31084,1190691,38305
2016,Hernando, FL,12053,35596,6438011,180861
2016,Highlands, FL,12055,32993,3262575,98886
2016,Hillsborough, FL,12057,43964,60609930,1378621
2016,Holmes, FL,12059,28386,552024,19447
2016,Indian River, FL,12061,72380,10862468,150076
2016,Jackson, FL,12063,29517,1447893,49053
2016,Jefferson, FL,12065,38088,533154,13998
2016,Lafayette, FL,12067,23384,201477,8616
2016,Lake, FL,12069,39631,13510329,340904
2016,Lee, FL,12071,49973,35429171,708970
2016,Leon, FL,12073,41270,11769937,285192
2016,Levy, FL,12075,33414,1349075,40374
2016,Liberty, FL,12077,23118,186588,8071
2016,Madison, FL,12079,30530,546671,17906
2016,Manatee, FL,12081,45870,16978830,370148
2016,Marion, FL,12083,34698,12151980,350220
2016,Martin, FL,12085,77137,12058736,156329
2016,Miami-Dade, FL,12086,44776,120064447,2681463
2016,Monroe, FL,12087,74744,6167760,82518
2016,Nassau, FL,12089,55050,4410699,80121
2016,Okaloosa, FL,12091,45674,9151711,200372
2016,Okeechobee, FL,12093,30540,1196971,39194
2016,Orange, FL,12095,40446,54307430,1342714
2016,Osceola, FL,12097,31651,10799791,341212
2016,Palm Beach, FL,12099,72147,104099946,1442877
2016,Pasco, FL,12101,38745,19677790,507878
2016,Pinellas, FL,12103,49389,46912934,949869
2016,Polk, FL,12105,34109,22444145,658019
2016,Putnam, FL,12107,30734,2199155,71555
2016,St. Johns, FL,12109,63705,14927141,234315
2016,St. Lucie, FL,12111,38723,11715964,302560
2016,Santa Rosa, FL,12113,42848,7295102,170257
2016,Sarasota, FL,12115,60540,24762875,409033
2016,Seminole, FL,12117,44652,20295995,454535
2016,Sumter, FL,12119,45430,5354778,117868
2016,Suwannee, FL,12121,31893,1373129,43054
2016,Taylor, FL,12123,27555,611807,22203
2016,Union, FL,12125,19090,302208,15831
2016,Volusia, FL,12127,39713,20865961,525414
2016,Wakulla, FL,12129,33916,1074021,31667
2016,Walton, FL,12131,56607,3684459,65088
2016,Washington, FL,12133,28654,691762,24142
2016,Appling, GA,13001,31793,588422,18508
2016,Atkinson, GA,13003,26933,221872,8238
2016,Bacon, GA,13005,29881,338341,11323
2016,Baker, GA,13007,35498,110079,3101
2016,Baldwin, GA,13009,31151,1384611,44448
2016,Banks, GA,13011,34365,602940,17545
2016,Barrow, GA,13013,34761,2649418,76219
2016,Bartow, GA,13015,36148,3736299,103362
2016,Ben Hill, GA,13017,28576,503161,17608
2016,Berrien, GA,13019,30507,555723,18216
2016,Bibb, GA,13021,37452,5838180,155883
2016,Bleckley, GA,13023,32250,407603,12639
2016,Brantley, GA,13025,27160,481786,17739
2016,Brooks, GA,13027,32029,521275,16275
2016,Bryan, GA,13029,47084,1796523,38156
2016,Bulloch, GA,13031,30495,2286178,74970
2016,Burke, GA,13033,31998,762283,23823
2016,Butts, GA,13035,31049,739142,23806
2016,Calhoun, GA,13037,24502,145369,5933
2016,Camden, GA,13039,34419,1801123,52330
2016,Candler, GA,13043,28870,313186,10848
2016,Carroll, GA,13045,36406,4183930,114923
2016,Catoosa, GA,13047,32773,2174261,66344
2016,Charlton, GA,13049,24056,296351,12319
2016,Chatham, GA,13051,43045,12585600,292385
2016,Chattahoochee, GA,13053,32187,303559,9431
2016,Chattooga, GA,13055,28239,703054,24897
2016,Cherokee, GA,13057,48610,11835954,243490
2016,Clarke, GA,13059,31384,3932349,125298
2016,Clay, GA,13061,30333,90848,2995
2016,Clayton, GA,13063,26265,7410456,282142
2016,Clinch, GA,13065,34249,234638,6851
2016,Cobb, GA,13067,52139,39145938,750793
2016,Coffee, GA,13069,29396,1258846,42824
2016,Colquitt, GA,13071,30214,1379923,45672
2016,Columbia, GA,13073,48069,6998977,145604
2016,Cook, GA,13075,29765,510194,17141
2016,Coweta, GA,13077,44520,6151625,138178
2016,Crawford, GA,13079,32009,389579,12171
2016,Crisp, GA,13081,31530,681015,21599
2016,Dade, GA,13083,31803,520111,16354
2016,Dawson, GA,13085,43147,1019596,23631
2016,Decatur, GA,13087,30907,878418,28421
2016,DeKalb, GA,13089,45556,34097208,748461
2016,Dodge, GA,13091,28733,588765,20491
2016,Dooly, GA,13093,31326,392333,12524
2016,Dougherty, GA,13095,33352,2990489,89664
2016,Douglas, GA,13097,33957,4746729,139788
2016,Early, GA,13099,33362,359981,10790
2016,Echols, GA,13101,26279,98494,3748
2016,Effingham, GA,13103,39046,2279326,58376
2016,Elbert, GA,13105,33261,641930,19300
2016,Emanuel, GA,13107,29996,676178,22542
2016,Evans, GA,13109,32574,348734,10706
2016,Fannin, GA,13111,34114,832374,24400
2016,Fayette, GA,13113,58301,6612116,113413
2016,Floyd, GA,13115,35898,3472506,96732
2016,Forsyth, GA,13117,60512,13428731,221917
2016,Franklin, GA,13119,33937,756528,22292
2016,Fulton, GA,13121,77366,78839954,1019053
2016,Gilmer, GA,13123,33452,989700,29586
2016,Glascock, GA,13125,33595,97895,2914
2016,Glynn, GA,13127,42546,3555092,83558
2016,Gordon, GA,13129,33040,1862732,56378
2016,Grady, GA,13131,29593,768125,25956
2016,Greene, GA,13133,51902,882176,16997
2016,Gwinnett, GA,13135,38890,35555218,914240
2016,Habersham, GA,13137,32102,1419024,44204
2016,Hall, GA,13139,40915,7955942,194452
2016,Hancock, GA,13141,26640,234060,8786
2016,Haralson, GA,13143,34397,984849,28632
2016,Harris, GA,13145,45367,1495259,32959
2016,Hart, GA,13147,34683,871994,25142
2016,Heard, GA,13149,30283,341507,11277
2016,Henry, GA,13151,37162,8271048,222569
2016,Houston, GA,13153,39651,6093186,153671
2016,Irwin, GA,13155,29520,279314,9462
2016,Jackson, GA,13157,39624,2589955,65364
2016,Jasper, GA,13159,35473,491906,13867
2016,Jeff Davis, GA,13161,28733,422147,14692
2016,Jefferson, GA,13163,30926,495436,16020
2016,Jenkins, GA,13165,29144,255647,8772
2016,Johnson, GA,13167,24609,230637,9372
2016,Jones, GA,13169,35497,1005033,28313
2016,Lamar, GA,13171,31531,568969,18045
2016,Lanier, GA,13173,26324,261948,9951
2016,Laurens, GA,13175,34036,1650287,48487
2016,Lee, GA,13177,40977,1266561,30909
2016,Liberty, GA,13179,32542,2049870,62992
2016,Lincoln, GA,13181,35302,270521,7663
2016,Long, GA,13183,30155,486852,16145
2016,Lowndes, GA,13185,34797,3984069,114496
2016,Lumpkin, GA,13187,35846,1114566,31093
2016,McDuffie, GA,13189,33206,722074,21745
2016,McIntosh, GA,13191,34048,406291,11933
2016,Macon, GA,13193,29844,388930,13032
2016,Madison, GA,13195,34797,999500,28724
2016,Marion, GA,13197,28546,224689,7871
2016,Meriwether, GA,13199,32823,680165,20722
2016,Miller, GA,13201,35730,218170,6106
2016,Mitchell, GA,13205,32802,737777,22492
2016,Monroe, GA,13207,41984,1128733,26885
2016,Montgomery, GA,13209,30027,262140,8730
2016,Morgan, GA,13211,44724,822921,18400
2016,Murray, GA,13213,28379,1114425,39270
2016,Muscogee, GA,13215,39286,7963965,202719
2016,Newton, GA,13217,32084,3408686,106243
2016,Oconee, GA,13219,59429,2223888,37421
2016,Oglethorpe, GA,13221,36043,519268,14407
2016,Paulding, GA,13223,36247,5560289,153399
2016,Peach, GA,13225,35625,967714,27164
2016,Pickens, GA,13227,44819,1379205,30773
2016,Pierce, GA,13229,33489,644232,19237
2016,Pike, GA,13231,37838,673970,17812
2016,Polk, GA,13233,30754,1280550,41638
2016,Pulaski, GA,13235,31198,326335,10460
2016,Putnam, GA,13237,39797,846963,21282
2016,Quitman, GA,13239,28015,64266,2294
2016,Rabun, GA,13241,39990,650752,16273
2016,Randolph, GA,13243,29617,205835,6950
2016,Richmond, GA,13245,34111,6985375,204781
2016,Rockdale, GA,13247,33071,2995950,90591
2016,Schley, GA,13249,31210,148839,4769
2016,Screven, GA,13251,31296,439553,14045
2016,Seminole, GA,13253,35860,326147,9095
2016,Spalding, GA,13255,32828,2118330,64528
2016,Stephens, GA,13257,35013,913724,26097
2016,Stewart, GA,13259,23711,126022,5315
2016,Sumter, GA,13261,32898,1003660,30508
2016,Talbot, GA,13263,34135,208153,6098
2016,Taliaferro, GA,13265,31853,51379,1613
2016,Tattnall, GA,13267,28872,686896,23791
2016,Taylor, GA,13269,31578,255593,8094
2016,Telfair, GA,13271,23156,320017,13820
2016,Terrell, GA,13273,35062,324953,9268
2016,Thomas, GA,13275,39655,1817268,45827
2016,Tift, GA,13277,34949,1431060,40947
2016,Toombs, GA,13279,33615,914054,27192
2016,Towns, GA,13281,35292,408756,11582
2016,Treutlen, GA,13283,28659,185078,6458
2016,Troup, GA,13285,34877,2423745,69494
2016,Turner, GA,13287,29457,254068,8625
2016,Twiggs, GA,13289,35767,292968,8191
2016,Union, GA,13291,35720,798049,22342
2016,Upson, GA,13293,32466,875133,26955
2016,Walker, GA,13295,31470,2110785,67073
2016,Walton, GA,13297,37703,3394882,90042
2016,Ware, GA,13299,31429,1128794,35916
2016,Warren, GA,13301,31983,170723,5338
2016,Washington, GA,13303,32992,666876,20213
2016,Wayne, GA,13305,28668,863511,30121
2016,Webster, GA,13307,32163,78927,2454
2016,Wheeler, GA,13309,18391,143612,7809
2016,White, GA,13311,35555,962328,27066
2016,Whitfield, GA,13313,36612,3794555,103643
2016,Wilcox, GA,13315,24802,222694,8979
2016,Wilkes, GA,13317,38373,373143,9724
2016,Wilkinson, GA,13319,33688,304603,9042
2016,Worth, GA,13321,30613,649085,21203
2016,Hawaii, HI,15001,38348,7556314,197045
2016,Honolulu, HI,15003,52296,53542985,1023837
