County,County Code,Deaths,Population,Crude Rate
"Autauga County, AL",1001,Suppressed,55504,Suppressed
"Baldwin County, AL",1003,21,212628,9.9
"Barbour County, AL",1005,Suppressed,25270,Suppressed
"Bibb County, AL",1007,Suppressed,22668,Suppressed
"Blount County, AL",1009,Suppressed,58013,Suppressed
"Bullock County, AL",1011,Suppressed,10309,Suppressed
"Butler County, AL",1013,Suppressed,19825,Suppressed
"Calhoun County, AL",1015,Suppressed,114728,Suppressed
"Chambers County, AL",1017,Suppressed,33713,Suppressed
"Cherokee County, AL",1019,Suppressed,25857,Suppressed
"Chilton County, AL",1021,Suppressed,44067,Suppressed
"Choctaw County, AL",1023,Suppressed,12945,Suppressed
"Clarke County, AL",1025,Suppressed,24083,Suppressed
"Clay County, AL",1027,Suppressed,13367,Suppressed
"Cleburne County, AL",1029,Suppressed,14900,Suppressed
"Coffee County, AL",1031,Suppressed,51874,Suppressed
"Colbert County, AL",1033,Suppressed,54500,Suppressed
"Conecuh County, AL",1035,Suppressed,12469,Suppressed
"Coosa County, AL",1037,Suppressed,10754,Suppressed
"Covington County, AL",1039,Suppressed,37092,Suppressed
"Crenshaw County, AL",1041,Suppressed,13871,Suppressed
"Cullman County, AL",1043,12,82755,Unreliable
"Dale County, AL",1045,Suppressed,49226,Suppressed
"Dallas County, AL",1047,Suppressed,39215,Suppressed
"DeKalb County, AL",1049,11,71617,Unreliable
"Elmore County, AL",1051,Suppressed,81677,Suppressed
"Escambia County, AL",1053,Suppressed,37447,Suppressed
"Etowah County, AL",1055,27,102755,26.3
"Fayette County, AL",1057,Suppressed,16468,Suppressed
"Franklin County, AL",1059,Suppressed,31495,Suppressed
"Geneva County, AL",1061,Suppressed,26421,Suppressed
"Greene County, AL",1063,Suppressed,8330,Suppressed
"Hale County, AL",1065,Suppressed,14812,Suppressed
"Henry County, AL",1067,Suppressed,17147,Suppressed
"Houston County, AL",1069,Suppressed,104346,Suppressed
"Jackson County, AL",1071,Suppressed,51909,Suppressed
"Jefferson County, AL",1073,169,659197,25.6
"Lamar County, AL",1075,Suppressed,13946,Suppressed
"Lauderdale County, AL",1077,Suppressed,92538,Suppressed
"Lawrence County, AL",1079,Suppressed,33049,Suppressed
"Lee County, AL",1081,Suppressed,161604,Suppressed
"Limestone County, AL",1083,Suppressed,94402,Suppressed
"Lowndes County, AL",1085,Suppressed,10076,Suppressed
"Macon County, AL",1087,Suppressed,18755,Suppressed
"Madison County, AL",1089,20,361046,5.5
"Marengo County, AL",1091,Suppressed,19375,Suppressed
"Marion County, AL",1093,Suppressed,29833,Suppressed
"Marshall County, AL",1095,Suppressed,95548,Suppressed
"Mobile County, AL",1097,15,413955,Unreliable
"Monroe County, AL",1099,Suppressed,21327,Suppressed
"Montgomery County, AL",1101,Suppressed,226646,Suppressed
"Morgan County, AL",1103,Suppressed,118818,Suppressed
"Perry County, AL",1105,Suppressed,9339,Suppressed
