County,County Code,Deaths,Population,Crude Rate
"Autauga County, AL",1001,Suppressed,55416,Suppressed
"Baldwin County, AL",1003,18,208563,Unreliable
"Barbour County, AL",1005,Suppressed,25965,Suppressed
"Bibb County, AL",1007,Suppressed,22643,Suppressed
"Blount County, AL",1009,Suppressed,57704,Suppressed
"Bullock County, AL",1011,Suppressed,10362,Suppressed
"Butler County, AL",1013,Suppressed,19998,Suppressed
"Calhoun County, AL",1015,Suppressed,114611,Suppressed
"Chambers County, AL",1017,Suppressed,33843,Suppressed
"Cherokee County, AL",1019,Suppressed,25725,Suppressed
"Chilton County, AL",1021,Suppressed,43941,Suppressed
"Choctaw County, AL",1023,Suppressed,12993,Suppressed
"Clarke County, AL",1025,Suppressed,24392,Suppressed
"Clay County, AL",1027,Suppressed,13492,Suppressed
"Cleburne County, AL",1029,Suppressed,14924,Suppressed
"Coffee County, AL",1031,Suppressed,51226,Suppressed
"Colbert County, AL",1033,Suppressed,54216,Suppressed
"Conecuh County, AL",1035,Suppressed,12395,Suppressed
"Coosa County, AL",1037,Suppressed,10581,Suppressed
"Covington County, AL",1039,Suppressed,37458,Suppressed
"Crenshaw County, AL",1041,Suppressed,13913,Suppressed
"Cullman County, AL",1043,13,82471,Unreliable
"Dale County, AL",1045,Suppressed,49226,Suppressed
"Dallas County, AL",1047,Suppressed,40008,Suppressed
"DeKalb County, AL",1049,Suppressed,70900,Suppressed
"Elmore County, AL",1051,Suppressed,81799,Suppressed
"Escambia County, AL",1053,Suppressed,37728,Suppressed
"Etowah County, AL",1055,Suppressed,102564,Suppressed
"Fayette County, AL",1057,Suppressed,16546,Suppressed
"Franklin County, AL",1059,Suppressed,31628,Suppressed
"Geneva County, AL",1061,Suppressed,26614,Suppressed
"Greene County, AL",1063,Suppressed,8422,Suppressed
"Hale County, AL",1065,Suppressed,14952,Suppressed
"Henry County, AL",1067,Suppressed,17164,Suppressed
"Houston County, AL",1069,Suppressed,104056,Suppressed
"Jackson County, AL",1071,Suppressed,52138,Suppressed
"Jefferson County, AL",1073,169,659521,25.6
"Lamar County, AL",1075,Suppressed,13918,Suppressed
"Lauderdale County, AL",1077,Suppressed,92318,Suppressed
"Lawrence County, AL",1079,Suppressed,33244,Suppressed
"Lee County, AL",1081,Suppressed,158991,Suppressed
"Limestone County, AL",1083,Suppressed,92753,Suppressed
"Lowndes County, AL",1085,Suppressed,10358,Suppressed
"Macon County, AL",1087,Suppressed,18963,Suppressed
"Madison County, AL",1089,16,356967,Unreliable
"Marengo County, AL",1091,Suppressed,19673,Suppressed
"Marion County, AL",1093,Suppressed,29998,Suppressed
"Marshall County, AL",1095,Suppressed,95157,Suppressed
